datetime,NO,NO2,O3,SR,Temp,SR_Synoptic,UV,ci_valid_date,clearing_index,issue_time_local,Temp[K],K,f_T,J,O3_mol_per_cm3,NO_mol_per_cm3,NO2_mol_per_cm3,LR
2025-05-16 15:00:00,0.1666666666666666,2.55,0.052,0.82,64.0,768.0,16.0,2025-05-16,860,2025-05-16 00:07:00-06:00,290.92777777777775,1.7295541712689384e-14,1.081407392585378,0.00043853521126760567,1126300103237.0823,3609936228.323981,55232024293.356926,0.3444352629353209
2025-05-20 11:00:00,0.4666666666666666,2.7,0.052,1.38,64.0,802.0,26.0,2025-05-20,1000,2025-05-20 03:13:00-06:00,290.92777777777775,1.7295541712689384e-14,1.081407392585378,0.0007126197183098591,1126300103237.0823,10107821439.307148,58480966898.84851,0.21165402186676752
2025-05-20 12:00:00,0.7999999999999999,3.7,0.05,1.39,65.0,848.0,27.0,2025-05-20,1000,2025-05-20 03:13:00-06:00,291.4833333333333,1.7466342415709823e-14,1.080486781204675,0.0007400281690140845,1080916750349.6022,17294668005.593636,79987839525.87057,0.18128662824443556
2025-05-20 13:00:00,0.1333333333333333,2.45,0.053,1.23,67.0,964.0,24.0,2025-05-20,1000,2025-05-20 03:13:00-06:00,292.59444444444443,1.781102656923192e-14,1.0786583746041098,0.0006578028169014085,1141420750926.1611,2871498744.4683294,52763789429.60557,0.5945499699070468
2025-05-20 14:00:00,0.1333333333333333,2.25,0.054,1.16,69.0,972.0,22.0,2025-05-20,1000,2025-05-20 03:13:00-06:00,293.7055555555555,1.8159827515142287e-14,1.076846861042075,0.0006029859154929578,1158557434161.9531,2860635639.9060574,48273226423.41473,0.48363938697459563
2025-05-20 16:00:00,0.0333333333333333,2.2,0.049,0.64,70.0,811.0,12.0,2025-05-20,1000,2025-05-20 03:13:00-06:00,294.26111111111106,1.8335774119247617e-14,1.0759473669511852,0.00032890140845070424,1049298807895.1184,713808712.8538213,47111375048.35226,1.1282653197603487
2025-05-21 11:00:00,0.5333333333333333,3.5999999999999996,0.055,1.38,62.0,761.0,26.0,2025-05-21,610,2025-05-21 03:25:00-06:00,289.81666666666666,1.695701799748467e-14,1.0832615802456371,0.0007126197183098591,1195846129826.362,11596083683.164724,78273564861.36188,0.23721209251324846
2025-05-21 12:00:00,0.3999999999999999,3.4000000000000004,0.058,1.41,64.0,889.0,27.0,2025-05-21,610,2025-05-21 03:25:00-06:00,290.92777777777775,1.7295541712689384e-14,1.081407392585378,0.0007400281690140845,1256257807456.7458,8663846947.977554,73642699057.80925,0.2895037770361533
2025-05-21 13:00:00,0.2666666666666666,3.05,0.059,1.35,65.0,966.0,26.0,2025-05-21,610,2025-05-21 03:25:00-06:00,291.4833333333333,1.7466342415709823e-14,1.080486781204675,0.0007126197183098591,1275481765412.5305,5764889335.197878,65935921771.32574,0.36585813660568384
2025-05-21 14:00:00,0.1666666666666666,2.9000000000000004,0.06,1.22,67.0,984.0,23.0,2025-05-21,610,2025-05-21 03:25:00-06:00,292.59444444444443,1.781102656923192e-14,1.0786583746041098,0.0006303943661971831,1292174435010.7483,3589373430.585411,62455097692.18619,0.47659718789532907
2025-05-21 15:00:00,0.1666666666666666,3.05,0.06,1.01,68.0,944.0,18.0,2025-05-21,610,2025-05-21 03:25:00-06:00,293.15,1.7984911970395434e-14,1.0777505206986553,0.0004933521126760564,1289725604425.3245,3582571123.403678,65561051558.28733,0.38922653835624144
2025-05-21 16:00:00,0.1999999999999999,3.4,0.058,0.76,69.0,852.0,13.0,2025-05-21,610,2025-05-21 03:25:00-06:00,293.7055555555555,1.8159827515142287e-14,1.076846861042075,0.00035630985915492957,1244376503359.1353,4290953459.8590846,72946208817.60448,0.2680484125928166
2025-05-22 13:00:00,0.1666666666666666,4.699999999999999,0.07,0.87,78.0,960.0,17.0,2025-05-22,1000,2025-05-22 02:55:00-06:00,298.7055555555555,1.9780567216416458e-14,1.068898016612017,0.000465943661971831,1476694678833.292,3515939711.5078363,99149499864.52101,0.4498348163455642
2025-05-22 14:00:00,0.0333333333333333,3.0999999999999996,0.067,1.13,79.0,796.0,21.0,2025-05-22,1000,2025-05-22 02:55:00-06:00,299.26111111111106,1.99658306910345e-14,1.0680347635948284,0.0005755774647887324,1410783879711.0303,701882527.2194173,65275075031.40587,1.9003730283574454
2025-05-23 11:00:00,0.8333333333333334,4.8,0.058,1.33,71.0,751.0,25.0,2025-05-23,980,2025-05-23 03:00:00-06:00,294.81666666666666,1.8512752674825844e-14,1.075052010001347,0.0006852112676056339,1239686671624.3125,17811590109.54472,102594759030.97757,0.1719744971421078
2025-05-23 12:00:00,0.3666666666666667,3.6,0.064,1.4,73.0,877.0,27.0,2025-05-23,980,2025-05-23 03:00:00-06:00,295.92777777777775,1.886980909110185e-14,1.0732735951017351,0.0007400281690140845,1362793994404.763,7807673926.277288,76657162185.26791,0.28254108221271484
2025-05-23 13:00:00,0.0999999999999999,3.1,0.067,1.36,75.0,927.0,26.0,2025-05-23,980,2025-05-23 03:00:00-06:00,297.0388888888889,1.923100343115161e-14,1.0715113940084064,0.0007126197183098591,1421338306776.031,2121400457.8746707,65763414194.11487,0.8082023757011554
2025-05-23 15:00:00,0.0333333333333333,2.8,0.067,1.05,77.0,952.0,19.0,2025-05-23,980,2025-05-23 03:00:00-06:00,298.15,1.959634198949797e-14,1.0697651883426254,0.0005207605633802818,1416041426731.4001,704498222.2544272,59177850669.37194,1.5763999239454363
2025-05-27 11:00:00,1.1333333333333333,7.7,0.067,1.36,78.0,742.0,26.0,2025-05-27,880,2025-05-27 02:22:00-06:00,298.7055555555555,1.9780567216416458e-14,1.068898016612017,0.0007126197183098591,1413407764026.151,23908390038.253296,162436414671.6621,0.17317479587265955
2025-05-27 12:00:00,0.1999999999999999,4.4,0.073,1.4,80.0,872.0,27.0,2025-05-27,880,2025-05-27 02:22:00-06:00,299.81666666666666,2.0152133096713866e-14,1.0671754030680325,0.0007400281690140845,1534274470422.0203,4203491699.786355,92476817395.29987,0.5265587702771894
2025-05-28 11:00:00,0.5,5.0,0.071,1.39,81.0,754.0,26.0,2025-05-28,1000,2025-05-28 03:25:00-06:00,300.3722222222222,2.0339475094101436e-14,1.0663199090399655,0.0007126197183098591,1489479571266.0486,10489292755.39471,104892927553.9471,0.2352250358031032
2025-05-28 12:00:00,0.2666666666666666,4.9,0.078,1.39,83.0,872.0,27.0,2025-05-28,1000,2025-05-28 03:25:00-06:00,301.4833333333333,2.0717280393606105e-14,1.0646204176550425,0.0007400281690140845,1630299007856.0532,5573671821.730096,102416219724.29054,0.4026016875265655
2025-05-29 12:00:00,0.0333333333333333,3.2,0.075,1.4,84.0,761.0,27.0,2025-05-29,830,2025-05-28 03:25:00-06:00,302.0388888888889,2.0907744904332413e-14,1.0637763694490916,0.0007400281690140845,1564711841942.5176,695427485.307785,66761038589.54743,2.171590446607474
2025-05-30 11:00:00,0.7999999999999999,7.75,0.078,1.35,83.0,751.0,26.0,2025-05-30,990,2025-05-30 02:53:00-06:00,301.4833333333333,2.0717280393606105e-14,1.0646204176550425,0.0007126197183098591,1630299007856.0532,16721015465.19029,161984837319.03094,0.2043946586964045
2025-05-30 12:00:00,0.6666666666666666,7.4,0.084,1.38,84.0,874.0,26.0,2025-05-30,990,2025-05-30 02:53:00-06:00,302.0388888888889,2.0907744904332413e-14,1.0637763694490916,0.0007126197183098591,1752477262975.6196,13908549706.155712,154384901738.32843,0.2158843842630196
2025-05-31 11:00:00,0.1333333333333333,3.8,0.072,1.37,83.0,756.0,26.0,2025-05-31,510,2025-05-31 01:58:00-06:00,301.4833333333333,2.0717280393606105e-14,1.0646204176550425,0.0007126197183098591,1504891391867.126,2786835910.865048,79424823459.65388,0.6514255573937022
