datetime,NO,NO2,O3,SR,Temp
2024-01-01 00:00:00,0.7,9.1,0.022,,33.0
2024-01-01 01:00:00,0.6,10.5,0.018,,31.0
2024-01-01 02:00:00,1.2,5.5,0.028,,32.0
2024-01-01 03:00:00,0.8,4.1,0.029,,32.0
2024-01-01 04:00:00,0.6,5.4,0.026,,31.0
2024-01-01 05:00:00,3.5,12.7,0.017,,29.0
2024-01-01 06:00:00,2.2,12.8,0.02,,30.0
2024-01-01 07:00:00,1.1,11.5,0.017,,28.0
2024-01-01 08:00:00,3.7,12.0,0.016,,28.0
2024-01-01 09:00:00,3.5,6.6,0.025,,32.0
2024-01-01 10:00:00,3.1,5.6,0.026,,35.0
2024-01-01 11:00:00,3.1,5.8,0.026,,39.0
2024-01-01 12:00:00,2.8,5.6,0.027,,43.0
2024-01-01 13:00:00,1.8,4.7,0.03,,46.0
2024-01-01 14:00:00,1.4,4.6,0.03,,46.0
2024-01-01 15:00:00,1.4,5.7,0.03,,47.0
2024-01-01 16:00:00,1.0,7.3,0.027,,43.0
2024-01-01 17:00:00,0.7,10.5,0.02,,37.0
2024-01-01 18:00:00,10.0,19.7,0.009,,35.0
2024-01-01 19:00:00,10.0,27.9,0.006,,35.0
2024-01-01 20:00:00,7.2,29.4,0.003,,33.0
2024-01-01 21:00:00,3.5,27.6,0.004,,32.0
2024-01-01 22:00:00,9.7,31.0,0.002,,31.0
2024-01-01 23:00:00,5.2,30.0,0.003,,31.0
2024-01-02 00:00:00,4.4,29.1,0.005,,30.0
2024-01-02 01:00:00,1.3,15.3,0.015,,29.0
2024-01-02 02:00:00,3.5,25.7,0.003,,27.0
2024-01-02 03:00:00,1.0,19.2,0.009,,27.0
2024-01-02 04:00:00,1.9,11.3,0.021,,28.0
2024-01-02 05:00:00,2.1,16.0,0.018,,28.0
2024-01-02 06:00:00,4.9,15.3,0.017,,28.0
2024-01-02 07:00:00,14.0,23.7,0.01,,26.0
2024-01-02 08:00:00,13.0,21.8,0.015,,30.0
2024-01-02 09:00:00,10.9,14.4,0.019,,32.0
2024-01-02 10:00:00,8.8,11.6,0.018,,35.0
2024-01-02 11:00:00,,,0.023,,40.0
2024-01-02 12:00:00,5.8,9.5,0.027,,43.0
2024-01-02 13:00:00,5.4,10.4,0.029,,46.0
2024-01-02 14:00:00,4.6,10.8,0.029,,47.0
2024-01-02 15:00:00,4.0,11.2,0.028,,46.0
2024-01-02 16:00:00,1.3,9.3,0.026,,41.0
2024-01-02 17:00:00,4.8,17.8,0.019,,37.0
2024-01-02 18:00:00,13.1,26.9,0.008,,35.0
2024-01-02 19:00:00,15.0,27.0,0.008,,34.0
2024-01-02 20:00:00,6.9,23.2,0.016,,34.0
2024-01-02 21:00:00,0.7,8.0,0.031,,35.0
2024-01-02 22:00:00,0.6,7.1,0.033,,35.0
2024-01-02 23:00:00,0.7,6.2,0.035,,36.0
2024-01-03 00:00:00,1.1,6.2,0.034,,34.0
2024-01-03 01:00:00,0.6,5.7,0.035,,35.0
2024-01-03 02:00:00,2.4,6.5,0.035,,35.0
2024-01-03 03:00:00,0.7,5.8,0.035,,35.0
2024-01-03 04:00:00,0.7,4.6,0.038,,37.0
2024-01-03 05:00:00,0.9,4.6,0.038,,36.0
2024-01-03 06:00:00,1.0,5.3,0.037,,36.0
2024-01-03 07:00:00,1.3,5.4,0.037,,36.0
2024-01-03 08:00:00,6.6,9.9,0.033,,37.0
2024-01-03 09:00:00,2.6,5.7,0.036,,40.0
2024-01-03 10:00:00,2.5,5.5,0.036,,42.0
2024-01-03 11:00:00,2.3,6.0,0.036,,43.0
2024-01-03 12:00:00,4.7,10.0,0.031,,44.0
2024-01-03 13:00:00,5.5,11.5,0.031,,46.0
2024-01-03 14:00:00,3.7,13.5,0.029,,46.0
2024-01-03 15:00:00,2.0,8.3,0.034,,45.0
2024-01-03 16:00:00,1.6,10.0,0.032,,45.0
2024-01-03 17:00:00,1.5,8.6,0.033,,44.0
2024-01-03 18:00:00,1.1,8.3,0.032,,43.0
2024-01-03 19:00:00,2.2,33.1,0.003,,36.0
2024-01-03 20:00:00,1.0,25.2,0.015,,38.0
2024-01-03 21:00:00,0.4,13.7,0.023,,38.0
2024-01-03 22:00:00,0.3,14.7,0.017,,34.0
2024-01-03 23:00:00,0.3,14.7,0.018,,34.0
2024-01-04 00:00:00,0.3,17.5,0.014,0.0,33.0
2024-01-04 01:00:00,0.6,19.5,0.013,0.0,32.0
2024-01-04 02:00:00,0.8,19.1,0.013,0.02,32.0
2024-01-04 03:00:00,0.8,17.3,0.013,0.62,31.0
2024-01-04 04:00:00,1.8,21.5,0.011,0.37,31.0
2024-01-04 05:00:00,6.0,23.8,0.01,0.07,31.0
2024-01-04 06:00:00,2.0,17.8,0.013,0.11,31.0
2024-01-04 07:00:00,1.5,16.7,0.01,0.63,30.0
2024-01-04 08:00:00,4.8,19.2,0.006,1.05,29.0
2024-01-04 09:00:00,10.2,21.6,0.007,0.56,31.0
2024-01-04 10:00:00,4.1,18.8,0.013,0.25,32.0
2024-01-04 11:00:00,3.4,18.8,0.015,0.07,33.0
2024-01-04 12:00:00,1.5,12.2,0.022,0.12,34.0
2024-01-04 13:00:00,1.3,10.4,0.023,0.11,33.0
2024-01-04 14:00:00,1.0,8.2,0.026,,33.0
2024-01-04 15:00:00,1.3,7.8,0.026,,34.0
2024-01-04 16:00:00,1.0,7.3,0.026,,34.0
2024-01-04 17:00:00,0.4,5.6,0.027,,34.0
2024-01-04 18:00:00,0.4,4.5,0.026,,34.0
2024-01-04 19:00:00,0.3,6.4,0.022,,34.0
2024-01-04 20:00:00,0.8,6.1,0.023,,33.0
2024-01-04 21:00:00,0.3,7.3,0.022,,33.0
2024-01-04 22:00:00,0.3,5.3,0.024,,33.0
2024-01-04 23:00:00,0.3,5.0,0.023,,33.0
2024-01-05 00:00:00,0.3,4.3,0.023,,32.0
2024-01-05 01:00:00,0.5,5.5,0.024,,32.0
2024-01-05 02:00:00,0.3,4.1,0.028,,32.0
2024-01-05 03:00:00,0.4,7.0,0.02,,31.0
2024-01-05 04:00:00,,,0.025,,31.0
2024-01-05 05:00:00,0.8,7.7,0.022,,31.0
2024-01-05 06:00:00,,,0.021,,31.0
2024-01-05 07:00:00,10.2,16.0,0.013,,31.0
2024-01-05 08:00:00,3.3,15.4,0.015,,31.0
2024-01-05 09:00:00,5.4,12.0,0.019,,31.0
2024-01-05 10:00:00,4.2,6.6,0.025,,32.0
2024-01-05 11:00:00,3.4,11.0,0.022,,33.0
2024-01-05 12:00:00,2.6,9.2,0.025,,33.0
2024-01-05 13:00:00,1.2,7.4,0.031,0.0,32.0
2024-01-05 14:00:00,3.6,9.9,0.025,0.28,32.0
2024-01-05 15:00:00,1.3,5.1,0.028,0.0,32.0
2024-01-05 16:00:00,0.9,5.8,0.027,0.02,32.0
2024-01-05 17:00:00,1.1,6.1,0.027,0.01,31.0
2024-01-05 18:00:00,0.4,5.9,0.028,0.16,31.0
2024-01-05 19:00:00,0.5,5.6,0.03,0.25,31.0
2024-01-05 20:00:00,0.4,3.3,0.031,,31.0
2024-01-05 21:00:00,0.2,2.8,0.031,,31.0
2024-01-05 22:00:00,0.2,2.2,0.031,,31.0
2024-01-05 23:00:00,0.2,2.1,0.031,,31.0
2024-01-06 00:00:00,0.3,3.3,0.028,,30.0
2024-01-06 01:00:00,0.2,3.5,0.028,,30.0
2024-01-06 02:00:00,0.3,5.7,0.025,,30.0
2024-01-06 03:00:00,0.2,3.5,0.024,,27.0
2024-01-06 04:00:00,0.3,5.9,0.025,,27.0
2024-01-06 05:00:00,0.2,4.3,0.026,,25.0
2024-01-06 06:00:00,0.8,3.3,0.028,,26.0
2024-01-06 07:00:00,1.4,7.8,0.025,,26.0
2024-01-06 08:00:00,1.8,7.8,0.024,,25.0
2024-01-06 09:00:00,5.3,9.6,0.023,,27.0
2024-01-06 10:00:00,3.4,5.6,0.029,,31.0
2024-01-06 11:00:00,3.0,4.3,0.03,,32.0
2024-01-06 12:00:00,3.7,5.6,0.032,,33.0
2024-01-06 13:00:00,2.8,5.9,0.031,,34.0
2024-01-06 14:00:00,2.4,6.5,0.031,,34.0
2024-01-06 15:00:00,2.4,9.0,0.029,,33.0
2024-01-06 16:00:00,1.2,7.3,0.032,,34.0
2024-01-06 17:00:00,0.8,5.9,0.034,,35.0
2024-01-06 18:00:00,0.7,6.6,0.035,,36.0
2024-01-06 19:00:00,1.6,11.0,0.027,,34.0
2024-01-06 20:00:00,0.7,16.4,0.021,,33.0
2024-01-06 21:00:00,0.7,4.5,0.035,,34.0
2024-01-06 22:00:00,0.3,6.9,0.028,,33.0
2024-01-06 23:00:00,0.2,1.8,0.037,,31.0
2024-01-07 00:00:00,0.5,4.2,0.034,,29.0
2024-01-07 01:00:00,0.5,5.2,0.033,,29.0
2024-01-07 02:00:00,0.5,4.3,0.035,,29.0
2024-01-07 03:00:00,0.5,3.7,0.032,,29.0
2024-01-07 04:00:00,,,0.032,,29.0
2024-01-07 05:00:00,0.6,6.0,0.031,,29.0
2024-01-07 06:00:00,1.0,7.1,0.029,,29.0
2024-01-07 07:00:00,1.4,7.9,0.028,,29.0
2024-01-07 08:00:00,0.8,5.5,0.03,,28.0
2024-01-07 09:00:00,0.8,1.8,0.035,,28.0
2024-01-07 10:00:00,0.7,1.7,0.036,,28.0
2024-01-07 11:00:00,0.6,1.7,0.037,,28.0
2024-01-07 12:00:00,0.8,1.7,0.037,,28.0
2024-01-07 13:00:00,1.1,2.3,0.038,,29.0
2024-01-07 14:00:00,1.0,2.3,0.038,,29.0
2024-01-07 15:00:00,0.6,1.7,0.038,,29.0
2024-01-07 16:00:00,0.5,2.9,0.036,,27.0
2024-01-07 17:00:00,0.3,2.8,0.036,,27.0
2024-01-07 18:00:00,0.3,2.4,0.036,,28.0
2024-01-07 19:00:00,0.2,1.5,0.036,,27.0
2024-01-07 20:00:00,0.2,2.7,0.034,,26.0
2024-01-07 21:00:00,0.1,3.7,0.032,,25.0
2024-01-07 22:00:00,0.2,4.9,0.03,,25.0
2024-01-07 23:00:00,0.2,5.0,0.03,,25.0
2024-01-08 00:00:00,0.2,7.2,0.027,,24.0
2024-01-08 01:00:00,0.3,5.4,0.029,,23.0
2024-01-08 02:00:00,0.4,6.3,0.028,,23.0
2024-01-08 03:00:00,0.4,6.9,0.028,,23.0
2024-01-08 04:00:00,0.4,7.0,0.027,,23.0
2024-01-08 05:00:00,0.3,8.2,0.025,,22.0
2024-01-08 06:00:00,0.9,11.1,0.022,,21.0
2024-01-08 07:00:00,2.1,19.6,0.015,,21.0
2024-01-08 08:00:00,3.0,10.6,0.025,,23.0
2024-01-08 09:00:00,8.9,13.7,0.022,,24.0
2024-01-08 10:00:00,9.7,13.5,0.025,,26.0
2024-01-08 11:00:00,7.1,10.9,0.026,,27.0
2024-01-08 12:00:00,4.4,8.6,0.03,,27.0
2024-01-08 13:00:00,3.8,7.2,0.032,,28.0
2024-01-08 14:00:00,4.4,7.6,0.031,,27.0
2024-01-08 15:00:00,1.6,4.2,0.035,,29.0
2024-01-08 16:00:00,1.7,5.3,0.032,,27.0
2024-01-08 17:00:00,4.7,9.7,0.028,,24.0
2024-01-08 18:00:00,1.7,8.5,0.027,,24.0
2024-01-08 19:00:00,0.6,6.9,0.029,,24.0
2024-01-08 20:00:00,0.7,14.5,0.02,,22.0
2024-01-08 21:00:00,1.4,18.1,0.017,,22.0
2024-01-08 22:00:00,0.6,14.3,0.02,,22.0
2024-01-08 23:00:00,2.1,24.0,0.008,,19.0
2024-01-09 00:00:00,6.5,27.9,0.007,,17.0
2024-01-09 01:00:00,1.7,18.9,0.014,,15.0
2024-01-09 02:00:00,1.4,13.9,0.019,,16.0
2024-01-09 03:00:00,2.3,18.9,0.014,,15.0
2024-01-09 04:00:00,2.3,11.2,0.023,,17.0
2024-01-09 05:00:00,2.3,10.8,0.024,,19.0
2024-01-09 06:00:00,3.1,13.4,0.023,,20.0
2024-01-09 07:00:00,4.3,14.2,0.024,,21.0
2024-01-09 08:00:00,4.2,10.4,0.028,,23.0
2024-01-09 09:00:00,4.3,7.9,0.03,,24.0
2024-01-09 10:00:00,8.3,10.2,0.028,,25.0
2024-01-09 11:00:00,8.0,12.1,0.027,,26.0
2024-01-09 12:00:00,3.0,7.8,0.03,,28.0
2024-01-09 13:00:00,4.9,10.9,0.029,,29.0
2024-01-09 14:00:00,8.7,11.9,0.028,,30.0
2024-01-09 15:00:00,9.9,19.7,0.022,,31.0
2024-01-09 16:00:00,7.8,22.5,0.018,,32.0
2024-01-09 17:00:00,10.6,33.1,0.008,,30.0
2024-01-09 18:00:00,4.3,24.7,0.012,,29.0
2024-01-09 19:00:00,2.8,15.2,0.026,,30.0
2024-01-09 20:00:00,0.0,2.0,0.041,,29.0
2024-01-09 21:00:00,0.2,2.7,0.04,,29.0
2024-01-09 22:00:00,0.4,3.9,0.039,,28.0
2024-01-09 23:00:00,0.2,5.8,0.037,,28.0
2024-01-10 00:00:00,0.3,4.3,0.04,,29.0
2024-01-10 01:00:00,0.2,1.2,0.042,,27.0
2024-01-10 02:00:00,0.2,1.0,0.042,,27.0
2024-01-10 03:00:00,0.2,1.2,0.041,,27.0
2024-01-10 04:00:00,0.3,3.7,0.037,,26.0
2024-01-10 05:00:00,2.1,19.2,0.023,,25.0
2024-01-10 06:00:00,9.5,34.2,0.011,,23.0
2024-01-10 07:00:00,22.7,42.3,0.006,,23.0
2024-01-10 08:00:00,45.6,43.7,0.007,,23.0
2024-01-10 09:00:00,11.3,17.7,0.027,,27.0
2024-01-10 10:00:00,21.3,25.0,0.021,,27.0
2024-01-10 11:00:00,9.1,14.5,0.03,,29.0
2024-01-10 12:00:00,8.0,14.4,0.029,,30.0
2024-01-10 13:00:00,7.0,13.0,0.033,,30.0
2024-01-10 14:00:00,6.7,10.9,0.033,,31.0
2024-01-10 15:00:00,8.2,15.9,0.028,,32.0
2024-01-10 16:00:00,3.0,11.9,0.031,,31.0
2024-01-10 17:00:00,1.7,12.6,0.029,,30.0
2024-01-10 18:00:00,0.2,2.5,0.04,,27.0
2024-01-10 19:00:00,0.2,2.0,0.042,,27.0
2024-01-10 20:00:00,1.0,5.1,0.04,,26.0
2024-01-10 21:00:00,0.5,4.8,0.041,,26.0
2024-01-10 22:00:00,0.2,3.2,0.042,,25.0
2024-01-10 23:00:00,0.2,3.3,0.04,,24.0
2024-01-11 00:00:00,0.2,2.9,0.041,,24.0
2024-01-11 01:00:00,0.3,3.6,0.038,,23.0
2024-01-11 02:00:00,0.3,4.3,0.037,,24.0
2024-01-11 03:00:00,0.3,3.1,0.037,,23.0
2024-01-11 04:00:00,0.3,3.5,0.037,,22.0
2024-01-11 05:00:00,0.4,5.3,0.035,,21.0
2024-01-11 06:00:00,1.5,6.9,0.035,,22.0
2024-01-11 07:00:00,3.0,11.6,0.028,,20.0
2024-01-11 08:00:00,18.8,35.8,0.012,,21.0
2024-01-11 09:00:00,11.8,16.9,0.025,,22.0
2024-01-11 10:00:00,3.9,7.4,0.035,,25.0
2024-01-11 11:00:00,1.8,2.9,0.039,,28.0
2024-01-11 12:00:00,1.9,2.5,0.039,,32.0
2024-01-11 13:00:00,3.1,4.3,0.04,,31.0
2024-01-11 14:00:00,0.9,1.7,0.041,,30.0
2024-01-11 15:00:00,0.5,1.8,0.04,,25.0
2024-01-11 16:00:00,1.1,5.3,0.036,,25.0
2024-01-11 17:00:00,1.0,11.8,0.03,,24.0
2024-01-11 18:00:00,0.6,13.4,0.028,,24.0
2024-01-11 19:00:00,0.6,6.0,0.034,,24.0
2024-01-11 20:00:00,0.3,1.5,0.038,,24.0
2024-01-11 21:00:00,0.3,1.4,0.039,,24.0
2024-01-11 22:00:00,0.2,1.5,0.039,,23.0
2024-01-11 23:00:00,0.2,1.5,0.039,,23.0
2024-01-12 00:00:00,0.3,2.2,0.039,,23.0
2024-01-12 01:00:00,0.3,2.4,0.038,,22.0
2024-01-12 02:00:00,0.4,3.5,0.036,,21.0
2024-01-12 03:00:00,0.2,2.4,0.038,,23.0
2024-01-12 04:00:00,,,0.04,,25.0
2024-01-12 05:00:00,0.6,1.7,0.04,,25.0
2024-01-12 06:00:00,0.9,1.7,0.04,,25.0
2024-01-12 07:00:00,0.5,1.5,0.04,,26.0
2024-01-12 08:00:00,1.3,2.4,0.04,,26.0
2024-01-12 09:00:00,1.8,2.3,0.039,,27.0
2024-01-12 10:00:00,1.7,2.1,0.04,,28.0
2024-01-12 11:00:00,2.0,2.1,0.04,,29.0
2024-01-12 12:00:00,1.0,1.8,0.041,,31.0
2024-01-12 13:00:00,1.1,1.5,0.041,,32.0
2024-01-12 14:00:00,1.0,1.7,0.041,,33.0
2024-01-12 15:00:00,0.5,1.8,0.041,,34.0
2024-01-12 16:00:00,0.7,1.7,0.041,,35.0
2024-01-12 17:00:00,0.5,2.1,0.041,,35.0
2024-01-12 18:00:00,0.6,1.6,0.042,,36.0
2024-01-12 19:00:00,0.4,0.7,0.043,,37.0
2024-01-12 20:00:00,0.2,0.5,0.042,,36.0
2024-01-12 21:00:00,0.2,0.4,0.043,,37.0
2024-01-12 22:00:00,0.2,0.4,0.042,,36.0
2024-01-12 23:00:00,0.1,1.9,0.039,,32.0
2024-01-13 00:00:00,0.2,2.6,0.037,,30.0
2024-01-13 01:00:00,0.1,1.7,0.038,,29.0
2024-01-13 02:00:00,0.3,1.1,0.039,,28.0
2024-01-13 03:00:00,0.3,0.9,0.04,,28.0
2024-01-13 04:00:00,0.3,0.9,0.04,,28.0
2024-01-13 05:00:00,0.2,1.3,0.039,,27.0
2024-01-13 06:00:00,0.3,3.1,0.036,,26.0
2024-01-13 07:00:00,0.6,3.9,0.036,,26.0
2024-01-13 08:00:00,1.5,7.0,0.034,,27.0
2024-01-13 09:00:00,1.2,3.0,0.038,,32.0
