oxidative_regime,variable,unit,regime_rows,valid_count,missing_count,mean,std,min,p25,median,p75,max
LR < 1,NO,ppb,7,7,0,1.7142857142857146,0.36709931185158157,1.2,1.5,1.7,1.9,2.3
LR < 1,NO2,ppb,7,7,0,6.614285714285714,1.6446160356636148,4.4,5.65,6.4,7.65,8.9
LR < 1,O3,ppm,7,7,0,0.048857142857142856,0.006593647736738026,0.039,0.044,0.051,0.054,0.056
LR < 1,NOx,ppb,7,7,0,8.32857142857143,1.957646789485006,5.6000000000000005,7.35,8.1,9.35,11.2
LR < 1,J,s^-1,7,7,0,0.004777454349165426,0.0003429909563147686,0.004273843401003791,0.00457160224918518,0.0047396108543105026,0.005052540974056014,0.005180439742361299
LR < 1,UV,W m^-2,7,7,0,21.285714285714285,1.3801311186847083,19.0,21.0,21.0,22.0,23.0
LR < 1,SR_W_m2,W m^-2,7,7,0,791.9714285714288,67.47183705641335,711.2800000000001,735.6866666666667,808.9066666666666,840.2866666666666,871.6666666666667
LR < 1,solar_zenith_angle_deg,degrees,7,7,0,36.272782486986095,5.371463443142314,25.482497400692957,35.93008423457078,36.61533087516545,39.06414918020781,41.82318230348714
LR < 1,Temp,degrees F,7,7,0,72.71428571428571,7.867957924694432,62.0,67.0,76.0,76.0,85.0
LR < 1,clearing_index,dimensionless,7,7,0,865.7142857142857,125.1475319848728,610.0,845.0,900.0,940.0,980.0
1 <= LR < 1.5,NO,ppb,15,15,0,0.8933333333333333,0.3614784456460256,0.3,0.7,0.8,1.05,1.8
1 <= LR < 1.5,NO2,ppb,15,15,0,5.366666666666665,1.5628118736370515,2.1,4.4,6.0,6.35,7.8
1 <= LR < 1.5,O3,ppm,15,15,0,0.06073333333333335,0.010010470708689169,0.048,0.0555,0.059,0.0635,0.084
1 <= LR < 1.5,NOx,ppb,15,15,0,6.260000000000001,1.8523344344752801,2.4,5.15,6.9,7.5,9.6
1 <= LR < 1.5,J,s^-1,15,15,0,0.004995751542471783,0.0002659456845774904,0.004424965979444409,0.00484532913658518,0.004974487930552117,0.0051891594852859265,0.005353060486003448
1 <= LR < 1.5,UV,W m^-2,15,15,0,23.2,2.274077520980446,20.0,21.0,23.0,25.5,26.0
1 <= LR < 1.5,SR_W_m2,W m^-2,15,15,0,847.0275555555559,83.75744564360078,711.2800000000001,774.0400000000001,850.7466666666667,920.4800000000001,962.3199999999999
1 <= LR < 1.5,solar_zenith_angle_deg,degrees,15,15,0,32.14003446442842,7.614408336113879,18.350124549219657,26.728009007782717,34.57114247679159,37.23469263902348,41.639191729570925
1 <= LR < 1.5,Temp,degrees F,15,15,0,79.0,5.30498417932204,67.0,77.0,81.0,82.0,87.0
1 <= LR < 1.5,clearing_index,dimensionless,15,15,0,913.3333333333334,91.78131358729577,680.0,890.0,940.0,985.0,990.0
1.5 <= LR < 2,NO,ppb,15,15,0,0.4466666666666668,0.11254628677422751,0.3,0.4,0.4,0.5,0.7
1.5 <= LR < 2,NO2,ppb,15,15,0,3.4066666666666667,0.7116044915407381,2.5,3.0,3.2,3.75,5.3
1.5 <= LR < 2,O3,ppm,15,15,0,0.05686666666666668,0.00582931834616642,0.051,0.052,0.055,0.061,0.069
1.5 <= LR < 2,NOx,ppb,15,15,0,3.8533333333333335,0.7799877898922215,2.8,3.45,3.6999999999999997,4.2,5.8999999999999995
1.5 <= LR < 2,J,s^-1,15,15,0,0.005049401504902857,0.00030739149005149137,0.004581998874535139,0.004725295551131407,0.005150481461245788,0.005312612644256361,0.005417098515020251
1.5 <= LR < 2,UV,W m^-2,15,15,0,23.266666666666666,2.4338877385388016,20.0,21.0,24.0,24.5,27.0
1.5 <= LR < 2,SR_W_m2,W m^-2,15,15,0,845.1680000000001,94.78164751697314,718.2533333333334,753.1200000000001,871.6666666666667,899.5600000000001,983.24
1.5 <= LR < 2,solar_zenith_angle_deg,degrees,15,15,0,33.02606026684688,7.460533173404953,18.447704079234985,29.71417875804204,35.77416301655833,37.727417184162164,41.22611685733862
1.5 <= LR < 2,Temp,degrees F,15,15,0,72.86666666666666,7.039345207644028,61.0,68.5,73.0,79.0,82.0
1.5 <= LR < 2,clearing_index,dimensionless,15,15,0,784.6666666666666,189.73164005535617,470.0,610.0,830.0,955.0,990.0
LR >= 2,NO,ppb,7,7,0,0.3,0.0,0.3,0.3,0.3,0.3,0.3
LR >= 2,NO2,ppb,7,7,0,3.414285714285715,0.46700667885506536,2.7,3.2,3.6,3.6500000000000004,3.9
LR >= 2,O3,ppm,7,7,0,0.06371428571428571,0.004889249625940764,0.058,0.061,0.064,0.0645,0.073
LR >= 2,NOx,ppb,7,7,0,3.714285714285714,0.46700667885506536,3.0,3.5,3.9,3.95,4.2
LR >= 2,J,s^-1,7,7,0,0.005054507691054419,0.00019828019998611765,0.004750907663171391,0.0049261840818244015,0.005116960825150549,0.005179052450216644,0.005303212284976903
LR >= 2,UV,W m^-2,7,7,0,24.142857142857142,2.410295378065479,21.0,22.0,25.0,26.0,27.0
LR >= 2,SR_W_m2,W m^-2,7,7,0,878.6400000000001,81.5214182263142,781.0133333333334,805.42,885.6133333333333,948.3733333333334,976.2666666666667
LR >= 2,solar_zenith_angle_deg,degrees,7,7,0,29.07762442910211,7.199397572184303,20.1920990254204,23.87900790647254,26.588328038364292,35.659651308817786,37.685625509349386
LR >= 2,Temp,degrees F,7,7,0,79.28571428571429,8.976158898517147,65.0,74.5,80.0,85.5,90.0
LR >= 2,clearing_index,dimensionless,7,7,0,822.8571428571429,123.38480264525906,610.0,765.0,880.0,910.0,920.0
