oxidative_regime,variable,unit,regime_rows,valid_count,missing_count,mean,std,min,p25,median,p75,max
LR < 1,NO,ppb,166,166,0,3.3771084337349397,4.093907529597871,0.3,1.2,2.0,3.9,32.9
LR < 1,NO2,ppb,166,166,0,7.809638554216868,4.930845755908936,1.9,4.0,6.75,10.0,28.8
LR < 1,O3,ppm,166,166,0,0.0414156626506024,0.008608776098950959,0.017,0.036,0.041,0.04675,0.078
LR < 1,NOx,ppb,166,166,0,11.186746987951805,8.776066228367231,2.5,5.199999999999999,8.9,14.1,61.7
LR < 1,J,s^-1,166,166,0,0.0037005410071403724,0.0007504651357198961,0.002480535091335206,0.003050965881112379,0.0035577860053298835,0.004276780259491177,0.005343216154715643
LR < 1,UV,W m^-2,166,166,0,15.120481927710843,3.5739718686432367,11.0,12.0,15.0,17.0,26.0
LR < 1,SR_W_m2,W m^-2,166,166,0,589.4987148594377,122.80854342431435,355.64000000000004,495.1066666666667,578.7866666666666,662.4666666666667,941.4000000000001
LR < 1,solar_zenith_angle_deg,degrees,166,166,0,47.76396295727625,9.766791461125802,21.402870018843416,41.31057377281029,49.461272762518774,55.04492521147401,63.5563470710967
LR < 1,Temp,degrees F,166,166,0,59.31927710843374,17.655298511632893,23.0,44.0,58.0,73.75,96.0
LR < 1,clearing_index,dimensionless,166,0,166,,,,,,,
1 <= LR < 1.5,NO,ppb,141,141,0,0.7177304964539006,0.3364273829400553,0.3,0.4,0.7,0.9,1.8
1 <= LR < 1.5,NO2,ppb,141,141,0,4.170921985815603,1.6403196120221812,1.8,2.8,4.0,5.2,8.6
1 <= LR < 1.5,O3,ppm,141,141,0,0.05146808510638298,0.00903449990037346,0.032,0.045,0.05,0.058,0.084
1 <= LR < 1.5,NOx,ppb,141,141,0,4.888652482269503,1.9164361343233494,2.1,3.3,4.6,6.1,9.9
1 <= LR < 1.5,J,s^-1,141,141,0,0.004215300977052407,0.0008775698861139833,0.002166284964090434,0.0035012029708519246,0.004424965979444409,0.004990384230432726,0.005391567996239687
1 <= LR < 1.5,UV,W m^-2,141,141,0,18.71631205673759,4.606402750729144,11.0,15.0,19.0,23.0,27.0
1 <= LR < 1.5,SR_W_m2,W m^-2,141,141,0,687.2937115839243,167.39811819649861,362.61333333333334,550.8933333333334,690.36,829.8266666666667,990.2133333333334
1 <= LR < 1.5,solar_zenith_angle_deg,degrees,141,141,0,37.93502156147361,9.423450604208803,18.350124549219657,32.80930127240404,38.120086942521155,45.4261329345191,57.07551440699311
1 <= LR < 1.5,Temp,degrees F,141,141,0,74.0,14.38749456993816,41.0,66.0,77.0,85.0,96.0
1 <= LR < 1.5,clearing_index,dimensionless,141,0,141,,,,,,,
1.5 <= LR < 2,NO,ppb,65,65,0,0.3984615384615384,0.10230516191202745,0.3,0.3,0.4,0.4,0.7
1.5 <= LR < 2,NO2,ppb,65,65,0,3.3492307692307692,0.9209579043248727,1.5,2.7,3.2,3.8,6.3
1.5 <= LR < 2,O3,ppm,65,65,0,0.05452307692307692,0.008575232672331137,0.037,0.05,0.052,0.058,0.079
1.5 <= LR < 2,NOx,ppb,65,65,0,3.7476923076923074,0.9710026538821374,1.8,3.1,3.5999999999999996,4.3,6.7
1.5 <= LR < 2,J,s^-1,65,65,0,0.00458723823780949,0.0006644827375501703,0.00263059496267719,0.004365246820298468,0.004705804335798126,0.005124427322770383,0.005417098515020251
1.5 <= LR < 2,UV,W m^-2,65,65,0,20.661538461538463,3.89019971802912,11.0,19.0,21.0,24.0,27.0
1.5 <= LR < 2,SR_W_m2,W m^-2,65,65,0,756.3384615384616,145.12701296703878,362.61333333333334,676.4133333333333,760.0933333333335,871.6666666666667,983.24
1.5 <= LR < 2,solar_zenith_angle_deg,degrees,65,65,0,36.172224653343726,8.957999879606588,18.34766773438503,29.56754967689703,36.02562705109072,41.869795428185085,53.03076513846566
1.5 <= LR < 2,Temp,degrees F,65,65,0,76.8923076923077,12.066382894382482,40.0,69.0,79.0,86.0,96.0
1.5 <= LR < 2,clearing_index,dimensionless,65,0,65,,,,,,,
LR >= 2,NO,ppb,31,31,0,0.31935483870967757,0.05427924611801259,0.3,0.3,0.3,0.3,0.5
LR >= 2,NO2,ppb,31,31,0,3.5290322580645155,0.6851732376497187,2.0,3.1500000000000004,3.6,3.75,5.0
LR >= 2,O3,ppm,31,31,0,0.055580645161290326,0.010735530396921515,0.036,0.047,0.054,0.0635,0.078
LR >= 2,NOx,ppb,31,31,0,3.8483870967741938,0.7145492601362696,2.3,3.45,3.9,4.05,5.5
LR >= 2,J,s^-1,31,31,0,0.0047770310690123385,0.0005451699338157403,0.0032956760841920136,0.004700994711190895,0.004934484358542349,0.005137295372106909,0.005351465480279926
LR >= 2,UV,W m^-2,31,31,0,22.193548387096776,3.7185961046135825,13.0,19.5,23.0,25.0,27.0
LR >= 2,SR_W_m2,W m^-2,31,31,0,806.657204301075,135.6056317062166,523.0,693.8466666666667,836.8000000000001,906.5333333333334,976.2666666666667
LR >= 2,solar_zenith_angle_deg,degrees,31,31,0,32.75229722261289,8.884771764854522,20.03537981489639,26.05830472425587,31.50699484457513,37.970269648579226,51.108941536569546
LR >= 2,Temp,degrees F,31,31,0,82.45161290322581,10.079149136302524,58.0,75.5,85.0,91.0,96.0
LR >= 2,clearing_index,dimensionless,31,0,31,,,,,,,
